Account_Number,Annual_Income_1000s,Household_Size,Years_of_Post-High_School_Education,TV_Hours,Age,Gender,Exceded_Credit_Limit_in_Past_12_Months,Annual_Charges,Data_split
23313578,21.8,4,5,31,47,Female,No,10023.52,Train
14168784,65.5,7,3,48,60,Female,No,11248.76,Train
498076,54.2,3,2,20,47,Male,No,6115,Train
12286258,73.7,6,0,46,41,Male,No,9785.55,Train
14458626,110.4,7,5,39,36,Female,No,12633.98,Train
6587932,22.1,8,3,41,52,Female,No,3309.42,Train
28612775,39.6,5,4,40,49,Female,No,18927.68,Train
23618891,90.6,8,5,27,46,Female,No,15762.55,Train
6620536,38.7,1,4,17,40,Male,No,0,Train
25744803,60.5,3,1,5,60,Male,No,11294.9,Train
26373139,104.3,4,5,58,53,Female,Yes,21484.52,Train
18241851,44.5,3,5,21,30,Male,No,11023.75,Train
29558287,67.1,6,1,33,35,Male,No,20523.11,Train
14427717,72.3,3,3,27,33,Female,No,17274.75,Train
19206708,114.8,5,3,23,29,Male,No,25181.64,Train
13775672,96,6,2,36,19,Male,No,11498.39,Train
28207255,90.2,4,0,59,24,Male,No,16442.82,Train
26411517,54.6,4,0,8,39,Male,No,4410.32,Train
22411321,97.4,4,4,30,28,Male,Yes,15200.75,Train
29587727,45.9,7,3,46,33,Female,No,16624.83,Train
25774035,61.8,4,4,55,65,Female,No,11055.97,Train
202180,38.6,2,3,59,43,Female,No,6595.49,Train
1412960,68.9,3,3,29,29,Male,No,9007.33,Train
7418245,73.4,7,1,9,26,Male,No,20757.31,Train
10107002,22.6,6,0,19,60,Female,No,9886.82,Train
26588030,50.5,7,5,22,54,Male,No,939.95,Train
26296381,81.6,5,1,34,50,Male,No,5236.84,Train
26868036,37.3,1,4,20,55,Female,No,1408.93,Train
13898458,66.1,4,3,40,23,Female,No,8598.72,Train
11423261,24.3,5,3,48,61,Female,No,9471.39,Train
29896806,32.5,8,4,16,42,Male,No,1188.5,Train
29336958,65.7,8,1,18,56,Female,No,8496.08,Train
25494293,51.4,1,3,18,56,Female,No,15463.32,Train
25239019,101.8,8,5,22,36,Female,Yes,20736.38,Train
13964728,31.8,4,4,19,40,Female,No,1237.09,Train
12936145,120.9,8,1,16,54,Male,No,19291.62,Train
9742628,102.8,7,3,53,60,Female,No,19200.32,Train
25804252,70.4,5,2,22,56,Male,No,8694.3,Train
21467566,43.2,6,0,13,27,Female,No,2502.03,Train
2948494,33.6,6,2,23,38,Male,No,1716.98,Train
859874,32.9,3,2,58,46,Male,Yes,862.5,Train
6733609,97.9,5,3,23,26,Male,No,10910,Train
18368006,101.7,3,2,17,57,Female,No,9562.92,Train
28865347,77.2,5,4,59,38,Male,No,21031.75,Train
23958869,86.2,5,4,56,53,Male,No,8989.74,Train
25490051,111.9,6,0,56,44,Male,No,23658.83,Train
14065877,59.8,6,3,23,57,Male,No,13964.96,Train
21437302,74.5,6,2,40,37,Male,No,8914.84,Train
24184521,56.8,1,3,48,43,Male,No,10087.41,Train
14880022,39.9,6,2,44,30,Female,No,5053.99,Train
24346545,96.6,4,2,9,25,Female,No,10773.19,Train
25139767,53.5,1,0,16,34,Male,No,9498.55,Train
8424632,126.9,5,0,43,56,Female,No,17047.29,Train
4781882,49.9,7,4,25,42,Female,No,8283.89,Train
28239888,52,6,0,38,57,Female,Yes,14795.85,Train
15048884,114.8,1,1,16,28,Male,No,11478.03,Train
4659321,126.9,6,2,5,40,Male,No,23127.27,Train
23075630,60.3,5,4,5,46,Male,No,8293.65,Train
4724635,42.3,4,3,12,41,Female,No,5448.48,Train
7794950,99.5,2,4,20,46,Male,No,14488.95,Train
372971,34.9,4,3,56,38,Male,No,5718.26,Train
11008291,71.5,3,0,34,36,Female,No,18336.19,Train
5458297,51.6,8,2,23,45,Male,No,7751.03,Train
9805512,90.7,4,0,60,57,Female,No,15915.42,Train
1046640,16.4,5,2,29,34,Female,No,3649.49,Train
25767927,47,7,4,8,41,Female,No,19459.4,Train
12663249,58.7,4,1,46,31,Female,No,14838.47,Train
8459859,81.4,6,4,51,36,Male,Yes,10440.05,Train
21754363,77.8,6,5,41,38,Male,No,5582.47,Train
29355312,99.2,1,2,6,54,Female,No,7289.82,Train
2000496,27.6,3,1,18,57,Female,No,6700.83,Train
8799951,82.3,5,5,34,46,Female,No,17472.88,Train
27033290,118.3,6,4,15,60,Female,No,20736.25,Train
18638518,67.5,7,2,10,57,Female,No,19718.98,Train
6013029,78.6,4,5,50,50,Female,No,13959.69,Train
22400666,36.9,6,2,19,57,Male,No,9025.36,Train
25744338,30.4,1,3,15,57,Female,No,11288.56,Train
27186018,24.1,3,2,43,63,Female,No,10742.15,Train
25944181,49.2,2,0,31,40,Female,No,3490.56,Train
29429534,76.4,5,1,12,62,Female,No,17070.8,Train
6101923,15.9,3,4,51,49,Female,No,874.41,Train
14995462,59.6,1,2,28,51,Male,No,4974.55,Train
3034485,105.7,3,4,56,28,Female,Yes,15742.73,Train
14497613,56.3,7,0,20,30,Male,No,9199.38,Train
1653114,74.7,7,4,40,48,Female,No,16966.78,Train
15982419,30.7,1,3,38,60,Male,No,0,Train
13122131,103.8,5,1,10,59,Female,No,12269.11,Train
29416507,60.1,7,3,30,57,Female,Yes,12189.83,Train
19826540,23.3,6,4,36,50,Male,No,3211.6,Train
23912034,77.3,3,5,50,42,Male,No,15906.89,Train
22227523,69.7,2,2,9,51,Male,No,19535.96,Train
5481221,106.8,6,3,59,42,Male,No,22651.98,Train
1552548,104.1,2,4,27,41,Male,Yes,13785.76,Train
6470048,80.3,2,4,19,37,Male,No,10559.04,Train
25487931,89.9,2,3,43,27,Female,No,11414.29,Train
25007131,82.6,2,3,8,48,Male,No,10717.49,Train
6568944,45.5,2,4,13,55,Male,Yes,8335.26,Train
6455160,45.7,7,1,2,43,Male,Yes,15452.7,Train
16014897,76.1,5,5,49,44,Male,No,11002.96,Train
17814563,91.3,4,2,14,55,Male,No,19451.41,Train
11443767,105.8,4,5,25,43,Male,Yes,19186.77,Train
28375031,43,8,3,59,45,Male,No,17269.26,Train
15967543,66.7,5,0,38,46,Male,No,10374.6,Train
