"customerID","customerName","Age","Fan_Mailing_List","Customer_Type","Game_ID","Num_Tickets_Purchased","Seat_Location","Ticket_Price","Concession_Purchases","Days_Before_Game"
"84d6d15c19b7ef14","el-Sadek, Lateefa",42,"No","Last-Minute","324fd36f67eb",2,"Upper",307.64,13.92,2
"4d570962be6afdbd","el-Shahan, Wadee'a",61,"Yes","In-Between","0c4f632e4414",1,"Upper",324.07,18.47,14
"aaabe0dae9c355d2","Legge, Megan",27,"No","Last-Minute","2f73386a1b02",4,"Upper",291.51,3.24,0
"64f0b74afeb534da","Burrows, Keenan",32,"Yes","Last-Minute","0bdd7a9ec446",2,"Upper",184.92,0,2
"e2bef2d7b2a2de4d","Waggoner, Lucas",34,"No","Last-Minute","7040d6183039",1,"Upper",198.4,0,1
"70313caeb6edc339","Bonnet, Jessica",54,"Yes","Planner","4b97f845624d",5,"Lower",288.41,68.63,27
"0d226c6d2e824057","el-Bacho, Shafaaa",39,"No","Last-Minute","78c27a77b7b0",2,"Upper",339.73,11.71,1
"13abd8945db436ae","Harrell, Gilberto",43,"No","In-Between","00755d0a73cb",3,"Lower",350.66,18.01,9
"8cdb1c354665b784","Harris, Stephanie",56,"No","In-Between","dd5155875e6c",2,"Lower",247.31,12.71,9
"d31c42600feddf38","Roper, Paul",44,"Yes","In-Between","e172d4149d08",2,"Upper",196.73,19.16,8
"34daf81f4a569de2","al-Rauf, Muneera",30,"No","Last-Minute","0bdd7a9ec446",1,"Upper",152.21,0,1
"4ec3ad00b1e8316a","al-Mousa, Shaakir",22,"No","Last-Minute","46c65a4487bc",1,"Upper",190.85,0,1
"52b6a30642cb5fd4","Yang, Brianna",36,"Yes","Last-Minute","56c7d7f6d9db",2,"Upper",264.72,0,2
"7635901526f60d44","Moore, Michael",33,"No","Last-Minute","356a3a4d3e04",3,"Upper",154.8,0,1
"2f87162c77dcf261","Tenorio, Jose",30,"No","Last-Minute","f29a5b5a9554",1,"Upper",509.82,7.97,0
"cde287690d1dd4d6","Chestnut, Luke",51,"No","Planner","06a5c88b5bc0",3,"Lower",206.35,30.82,20
"acfc4addcdefece1","Glisson, Kelly",24,"No","Last-Minute","897e05160313",1,"Lower",326.58,0,2
"6a0f98112daee834","Cummings, Kayla",45,"No","In-Between","b3b6268779e9",1,"Lower",416.9,27.08,8
"ab4979dfcf51297f","Pipkin, Forrest",53,"Yes","Planner","f29a5b5a9554",6,"Lower",293.33,51.5,23
"ba081c95b82a40d7","James, Charles",32,"No","In-Between","b2c05b346bd4",1,"Upper",324.53,18.59,9
"ff746ce4882d5614","Williams, Nakato",45,"Yes","Planner","a433b072d0ca",4,"Lower",187.07,32.21,18
"0462483f5f7f80d1","Viano, Benjamin",35,"No","Last-Minute","e55640e5bb47",1,"Upper",207.78,0,1
"d161db3590a32f6d","Lee, Nicole",47,"No","In-Between","88c8f7535d6b",5,"Upper",179.33,0,14
"54a27eba4c740e02","Delval, Obie",60,"No","Planner","172a30ce8d0e",4,"Lower",254.39,22.35,25
"55d397dbbe460fd4","Flessner, Sarah",48,"No","In-Between","324fd36f67eb",3,"Upper",355.54,11.46,13
"2e79857ec99237f3","Hammond, James",72,"No","Planner","dd5155875e6c",3,"Lower",325.49,36.79,27
"311b3f63761e6780","Rea, Alexander",51,"Yes","In-Between","c6da91193e55",2,"Upper",169.56,21.08,4
"ad8cc87e55aca5c0","Sok, Siran",55,"Yes","Planner","e6573fa3c9e1",4,"Lower",463.33,47.78,23
"8d8cb3d2b2446ecc","al-Reza, Khaalida",72,"Yes","Planner","4a44e5d9a141",5,"Upper",223.29,0,21
"37ed930e3980a353","el-Taha, Sahl",34,"No","Last-Minute","eaa02a53dc24",2,"Upper",280.06,0,1
"d57f499198c38ff3","al-Rafiq, Saahir",51,"No","Planner","afe842a47836",6,"Lower",379.72,48.81,20
"2f58a08b9e6017b0","Smith, Najeeah",60,"Yes","In-Between","dd9faf143906",1,"Lower",244.11,0,7
"aeabd2b4c6433d83","al-Jan, Warda",52,"Yes","In-Between","afe842a47836",2,"Lower",485.15,0,12
"d5079cc58c55224f","Martz, Gilbert",29,"No","Last-Minute","4bed42512fb8",1,"Lower",502.16,0,3
"acf260fa8afb95d9","Engstrom, Jalen",49,"No","Planner","2f73386a1b02",5,"Upper",293.65,39.23,20
"5aadeb51cf2891dd","Peppers, Marcel",33,"Yes","Last-Minute","28800117c623",1,"Upper",315.32,9.24,1
"d8d8ba499b92f2f0","Nguyen, Joshua",58,"No","Planner","afe842a47836",8,"Lower",244.06,0,30
"523e4c1fce35976d","al-Hariri, Salaah",26,"No","Last-Minute","d240114ca1cb",1,"Upper",258.45,0,0
"5cc6889d33a1c570","el-Shahidi, Mardiyya",38,"Yes","In-Between","436aa4ad2b7a",4,"Lower",223.79,33.25,14
"e0c09a1741cc3d0c","el-Minhas, Israa",53,"No","Planner","c5cc44515ea8",7,"Upper",367.24,31.45,28
"8ae21f8f98ba8fee","Cornell, Ellis",36,"Yes","In-Between","3c10fe9f9d2c",4,"Upper",97.33,20.47,14
"161aad65c4e38162","Brown, Nicholas",42,"No","In-Between","2b88c262f37f",4,"Upper",205.97,24.23,6
"6b9439ce4c9967b5","Sajopha, Vivian",66,"Yes","Planner","695e4bcb9d6a",4,"Upper",155.94,71.5,25
"fe823067ff69a96d","el-Khatib, Shafeeqa",41,"No","Last-Minute","06e1b9648db0",1,"Upper",130.56,0,2
"86e66917cfa8f746","Erekson, Taylor",57,"Yes","Planner","356a3a4d3e04",5,"Upper",199.48,22.92,22
